mpg,cylinder
18,cyl8
15,cyl8
18,cyl8
16,cyl8
17,cyl8
15,cyl8
14,cyl8
14,cyl8
14,cyl8
15,cyl8
15,cyl8
14,cyl8
15,cyl8
14,cyl8
24,cyl4
22,cyl6
18,cyl6
21,cyl6
27,cyl4
26,cyl4
25,cyl4
24,cyl4
25,cyl4
26,cyl4
21,cyl6
10,cyl8
10,cyl8
11,cyl8
9,cyl8
27,cyl4
28,cyl4
25,cyl4
25,cyl4
19,cyl6
16,cyl6
17,cyl6
19,cyl6
18,cyl6
14,cyl8
14,cyl8
14,cyl8
14,cyl8
12,cyl8
13,cyl8
13,cyl8
18,cyl6
22,cyl4
19,cyl6
18,cyl6
23,cyl4
28,cyl4
30,cyl4
30,cyl4
31,cyl4
35,cyl4
27,cyl4
26,cyl4
24,cyl4
25,cyl4
23,cyl4
20,cyl4
21,cyl4
13,cyl8
14,cyl8
15,cyl8
14,cyl8
17,cyl8
11,cyl8
13,cyl8
12,cyl8
13,cyl8
19,cyl3
15,cyl8
13,cyl8
13,cyl8
14,cyl8
18,cyl4
22,cyl4
21,cyl4
26,cyl4
22,cyl4
28,cyl4
23,cyl4
28,cyl4
27,cyl4
13,cyl8
14,cyl8
13,cyl8
14,cyl8
15,cyl8
12,cyl8
13,cyl8
13,cyl8
14,cyl8
13,cyl8
12,cyl8
13,cyl8
18,cyl6
16,cyl6
18,cyl6
18,cyl6
23,cyl6
26,cyl4
11,cyl8
12,cyl8
13,cyl8
12,cyl8
18,cyl6
20,cyl4
21,cyl4
22,cyl4
18,cyl3
19,cyl4
21,cyl6
26,cyl4
15,cyl8
16,cyl8
29,cyl4
24,cyl4
20,cyl4
19,cyl4
15,cyl8
24,cyl4
20,cyl6
11,cyl8
20,cyl6
21,cyl6
19,cyl6
15,cyl6
31,cyl4
26,cyl4
32,cyl4
25,cyl4
16,cyl6
16,cyl6
18,cyl6
16,cyl8
13,cyl8
14,cyl8
14,cyl8
14,cyl8
29,cyl4
26,cyl4
26,cyl4
31,cyl4
32,cyl4
28,cyl4
24,cyl4
26,cyl4
24,cyl4
26,cyl4
31,cyl4
19,cyl6
18,cyl6
15,cyl6
15,cyl6
16,cyl8
15,cyl8
16,cyl8
14,cyl8
17,cyl6
16,cyl6
15,cyl6
18,cyl6
21,cyl6
20,cyl8
13,cyl8
29,cyl4
23,cyl4
20,cyl6
23,cyl4
24,cyl4
25,cyl4
24,cyl4
18,cyl6
29,cyl4
19,cyl6
23,cyl4
23,cyl4
22,cyl4
25,cyl4
33,cyl4
28,cyl4
25,cyl4
25,cyl4
26,cyl4
27,cyl4
17.5,cyl8
16,cyl8
15.5,cyl8
14.5,cyl8
22,cyl6
22,cyl6
24,cyl6
22.5,cyl6
29,cyl4
24.5,cyl4
29,cyl4
33,cyl4
20,cyl6
18,cyl6
18.5,cyl6
17.5,cyl6
29.5,cyl4
32,cyl4
28,cyl4
26.5,cyl4
20,cyl4
13,cyl8
19,cyl4
19,cyl6
16.5,cyl6
16.5,cyl8
13,cyl8
13,cyl8
13,cyl8
31.5,cyl4
30,cyl4
36,cyl4
25.5,cyl4
33.5,cyl4
17.5,cyl8
17,cyl8
15.5,cyl8
15,cyl8
17.5,cyl6
20.5,cyl6
19,cyl6
18.5,cyl6
16,cyl8
15.5,cyl8
15.5,cyl8
16,cyl8
29,cyl4
24.5,cyl4
26,cyl4
25.5,cyl4
30.5,cyl4
33.5,cyl4
30,cyl4
30.5,cyl4
22,cyl6
21.5,cyl4
21.5,cyl3
43.1,cyl4
36.1,cyl4
32.8,cyl4
39.4,cyl4
36.1,cyl4
19.9,cyl8
19.4,cyl8
20.2,cyl8
19.2,cyl6
20.5,cyl6
20.2,cyl6
25.1,cyl4
20.5,cyl6
19.4,cyl6
20.6,cyl6
20.8,cyl6
18.6,cyl6
18.1,cyl6
19.2,cyl8
17.7,cyl6
18.1,cyl8
17.5,cyl8
30,cyl4
27.5,cyl4
27.2,cyl4
30.9,cyl4
21.1,cyl4
23.2,cyl4
23.8,cyl4
23.9,cyl4
20.3,cyl5
17,cyl6
21.6,cyl4
16.2,cyl6
31.5,cyl4
29.5,cyl4
21.5,cyl6
19.8,cyl6
22.3,cyl4
20.2,cyl6
20.6,cyl6
17,cyl8
17.6,cyl8
16.5,cyl8
18.2,cyl8
16.9,cyl8
15.5,cyl8
19.2,cyl8
18.5,cyl8
31.9,cyl4
34.1,cyl4
35.7,cyl4
27.4,cyl4
25.4,cyl5
23,cyl8
27.2,cyl4
23.9,cyl8
34.2,cyl4
34.5,cyl4
31.8,cyl4
37.3,cyl4
28.4,cyl4
28.8,cyl6
26.8,cyl6
33.5,cyl4
41.5,cyl4
38.1,cyl4
32.1,cyl4
37.2,cyl4
28,cyl4
26.4,cyl4
24.3,cyl4
19.1,cyl6
34.3,cyl4
29.8,cyl4
31.3,cyl4
37,cyl4
32.2,cyl4
46.6,cyl4
27.9,cyl4
40.8,cyl4
44.3,cyl4
43.4,cyl4
36.4,cyl5
30,cyl4
44.6,cyl4
40.9,cyl4
33.8,cyl4
29.8,cyl4
32.7,cyl6
23.7,cyl3
35,cyl4
23.6,cyl4
32.4,cyl4
27.2,cyl4
26.6,cyl4
25.8,cyl4
23.5,cyl6
30,cyl4
39.1,cyl4
39,cyl4
35.1,cyl4
32.3,cyl4
37,cyl4
37.7,cyl4
34.1,cyl4
34.7,cyl4
34.4,cyl4
29.9,cyl4
33,cyl4
34.5,cyl4
33.7,cyl4
32.4,cyl4
32.9,cyl4
31.6,cyl4
28.1,cyl4
30.7,cyl6
25.4,cyl6
24.2,cyl6
22.4,cyl6
26.6,cyl8
20.2,cyl6
17.6,cyl6
28,cyl4
27,cyl4
34,cyl4
31,cyl4
29,cyl4
27,cyl4
24,cyl4
23,cyl4
36,cyl4
37,cyl4
31,cyl4
38,cyl4
36,cyl4
36,cyl4
36,cyl4
34,cyl4
38,cyl4
32,cyl4
38,cyl4
25,cyl6
38,cyl6
26,cyl4
22,cyl6
32,cyl4
36,cyl4
27,cyl4
27,cyl4
44,cyl4
32,cyl4
28,cyl4
31,cyl4
